Papel,Segmento,Cotacao,FFOYield,DividendYield,P/VP,ValorMercado,Liquidez,QuantidadeDeImoveis,PrecoPorM2,AlugelPorM2,CapRate,VacanciaMedia
NAVT11,Títulos e Val. Mob.,"77,97","2,06%","3,06%","0,82",82.219.900,371.947,0,"0,00","0,00","0,00%","0,00%"
NCHB11,Títulos e Val. Mob.,"95,78","4,78%","10,51%","1,02",138.112.000,93.803,0,"0,00","0,00","0,00%","0,00%"
NEWL11,Híbrido,"102,00","8,11%","12,30%","0,88",207.402.000,98.327,1,"7.698,56","488,12","6,34%","0,00%"
NEWU11,Híbrido,"35,40","-5,72%","0,31%","0,56",26.266.800,5.230,3,"1.886,14","269,54","14,29%","42,33%"
NPAR11,Outros,"14,30","282,88%","205,38%","0,79",1.710.140,12.465,0,"0,00","0,00","0,00%","0,00%"
NSLU11,Hospital,"234,99","8,46%","9,35%","1,10",269.017.000,214.981,1,"11.293,60","1.666,03","14,75%","0,00%"
NVHO11,Hospital,"11,99","10,52%","8,00%","0,97",497.519.000,2.411,4,"16.289,90","1.748,61","10,73%","0,00%"
ONEF11,Lajes Corporativas,"145,95","5,23%","5,35%","0,91",132.960.000,130.546,1,"21.765,60","1.337,50","6,15%","0,00%"
ORPD11,Títulos e Val. Mob.,"133,58","0,00%","0,00%","0,89",38.738.200,24,0,"0,00","0,00","0,00%","0,00%"
OUCY11,Híbrido,"88,50","11,34%","3,25%","0,90",73.617.600,0,4,"3.586,54","332,74","9,28%","0,00%"
OUFF11,Títulos e Val. Mob.,"74,05","7,57%","9,86%","0,86",134.352.000,198.681,0,"0,00","0,00","0,00%","0,00%"
OUJP11,Híbrido,"89,98","7,00%","9,52%","0,87",292.650.000,856.102,0,"0,00","0,00","0,00%","0,00%"
OULG11,Logística,"65,80","16,75%","9,83%","0,71",163.268.000,163.459,2,"1.652,24","330,79","20,02%","48,23%"
OURE11,Híbrido,"87,31","11,50%","7,20%","0,89",72.627.700,98.047,4,"3.538,31","332,74","9,40%","0,00%"
PATC11,Lajes Corporativas,"63,43","5,91%","5,81%","0,74",220.574.000,337.125,7,"14.273,50","939,32","6,58%","13,64%"
PATL11,Logística,"74,30","7,26%","8,91%","0,77",370.871.000,1.131.230,2,"2.382,14","216,64","9,09%","7,45%"
PDDA11B,Logística,"106,50","10,35%","0,00%","1,15",264.257.000,0,2,"2.674,21","330,79","12,37%","48,23%"
PEMA11,Títulos e Val. Mob.,"78,90","4,41%","6,75%","0,81",43.552.800,29.159,0,"0,00","0,00","0,00%","0,00%"
PLCR11,Híbrido,"92,97","9,19%","9,80%","0,97",196.089.000,531.149,0,"0,00","0,00","0,00%","0,00%"
PLOG11,Residencial,"82,50","2,61%","4,23%","0,86",61.875.000,92.051,1,"836,62","24,16","2,89%","0,00%"
PLRI11,Títulos e Val. Mob.,"47,85","-1,57%","33,30%","0,95",45.663.400,6.352,0,"0,00","0,00","0,00%","0,00%"
PORD11,Títulos e Val. Mob.,"95,61","6,95%","11,04%","0,96",356.470.000,985.055,0,"0,00","0,00","0,00%","0,00%"
PQAG11,Logística,"66,89","6,45%","7,00%","1,18",935.918.000,162.157,1,"14.886,20","967,58","6,50%","0,00%"
PQDP11,Shoppings,"2.150,48","8,82%","4,69%","0,59",512.840.000,152.182,1,"1.945,60","91,53","4,70%","3,10%"
PRSN11B,Residencial,"0,61","-3,94%","10,31%","1,35",31.537.000,5.334,2,"66.007,90","0,00","0,00%","0,00%"
PRSV11,Lajes Corporativas,"132,97","9,91%","1,26%","0,56",25.929.200,9.099,1,"2.402,45","469,56","19,54%","40,90%"
PVBI11,Lajes Corporativas,"94,00","5,91%","6,50%","0,94",913.680.000,2.492.950,4,"13.046,90","600,17","4,60%","0,00%"
QAGR11,Outros,"50,30","8,94%","7,42%","0,84",253.512.000,461.507,12,"462,16","41,53","8,99%","0,00%"
QAMI11,Híbrido,"94,35","2,16%","4,37%","1,01",75.611.900,27.359,0,"0,00","0,00","0,00%","0,00%"
QIFF11,Títulos e Val. Mob.,"97,49","4,02%","4,92%","1,02",14.623.500,1.569,0,"0,00","0,00","0,00%","0,00%"
QMFF11,Títulos e Val. Mob.,"98,52","3,98%","3,90%","1,04",14.778.000,0,0,"0,00","0,00","0,00%","0,00%"
RBBV11,Títulos e Val. Mob.,"100,00","6,51%","154,57%","0,99",125.416.000,0,0,"0,00","0,00","0,00%","0,00%"
